id,premise,conclusion,premises-FOL,conclusion-FOL,label
167,"All birds have wings.
Animals with wings aren't reptiles.
Some animals that fly are birds.
If something is an iguana, then it is a reptile. Simeng: All iguanas are reptiles. 
John is either both an iguana and a bird, or he is neither. 
John is an animal.",John is not both an iguana and an animal that can fly.,"∀x (Bird(x) → ∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z)))
∀x (Animal(x) ∧ (∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z))) → ¬Reptile(x))
∃x (Animal(x) ∧ Fly(x) ∧ Bird(x))
∀x (Iguana(x) → Reptile(x))
¬(Iguana(john) ⊕ Bird(john))
Animal(john)",-(Iguana(john) & Animal(john) & Fly(john)),True
168,"All birds have wings.
Animals with wings aren't reptiles.
Some animals that fly are birds.
If something is an iguana, then it is a reptile. Simeng: All iguanas are reptiles. 
John is either both an iguana and a bird, or he is neither. 
John is an animal.",John is an animal that can fly and John is a bird.,"∀x (Bird(x) → ∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z)))
∀x (Animal(x) ∧ (∃y ∃z (¬(y=z) ∧ Wing(y) ∧ Wing(z) ∧ Have(x, y) ∧ Have(x, z))) → ¬Reptile(x))
∃x (Animal(x) ∧ Fly(x) ∧ Bird(x))
∀x (Iguana(x) → Reptile(x))
¬(Iguana(john) ⊕ Bird(john))
Animal(john)",Animal(john) & Fly(john) & Bird(john),False
169,"Everyone who is entitled to national social insurance coverage can have their medical bills partially covered. 
All PRC nationals are entitled to national social insurance coverage.
Everyone in the Franco-China diplomatic conference is either a PRC national or a French national, but not both. 
All French nationals are citizens of the European Union. 
All Spanish nationals are citizens of the European Union. 
No North Korean nationals are citizens of the European Union. 
Mei is at the Franco-China diplomatic conference. 
Either Mei is a North Korean and can have medical bills partially covered, or neither is true.",Mei is a PRC national.,"∀x (EntitledTo(x, nationalSocialInsuranceCoverage) → CanHavePartiallyCovered(x, medicalBills))
∀x (PRCNational(x) → EntitledTo(x, nationalSocialInsuranceCoverage))
∀x (In(x, francoChinaDiplomaticConference) → PRCNational(x) ⊕ FrenchNational(x))
∀x (FrenchNational(x) → CitizenOf(x, europeanUnion))
∀x (SpanishNational(x) → CitizenOf(x, europeanUnion))
∀x (NorthKoreanNational(x) → ¬CitizenOf(x, europeanUnion))
In(mei, francoChinaDiplomaticConference)
¬(NorthKoreanNational(mei) ⊕ CanHavePartiallyCovered(mei, medicalBills))",PRCNational(mei),Uncertain
170,"Everyone who is entitled to national social insurance coverage can have their medical bills partially covered. 
All PRC nationals are entitled to national social insurance coverage.
Everyone in the Franco-China diplomatic conference is either a PRC national or a French national, but not both. 
All French nationals are citizens of the European Union. 
All Spanish nationals are citizens of the European Union. 
No North Korean nationals are citizens of the European Union. 
Mei is at the Franco-China diplomatic conference. 
Either Mei is a North Korean and can have medical bills partially covered, or neither is true.",Mei is not a PRC national.,"∀x (EntitledTo(x, nationalSocialInsuranceCoverage) → CanHavePartiallyCovered(x, medicalBills))
∀x (PRCNational(x) → EntitledTo(x, nationalSocialInsuranceCoverage))
∀x (In(x, francoChinaDiplomaticConference) → PRCNational(x) ⊕ FrenchNational(x))
∀x (FrenchNational(x) → CitizenOf(x, europeanUnion))
∀x (SpanishNational(x) → CitizenOf(x, europeanUnion))
∀x (NorthKoreanNational(x) → ¬CitizenOf(x, europeanUnion))
In(mei, francoChinaDiplomaticConference)
¬(NorthKoreanNational(mei) ⊕ CanHavePartiallyCovered(mei, medicalBills))",-all x (x = mei -> PRCNational(x)),Uncertain
171,"No people who do not admit a mistake are good teachers.
Some well-informed people are people who do not admit a mistake.",Some good teachers are not well-informed people.,"∀x (¬Admit(x, mistake) → ¬GoodTeacher(x))
∃x ∃y (WellInformed(x) ∧ WellInformed(y) ∧ ¬Admit(x, mistake) ∧ ¬Admit(y, mistake) ∧ ¬(x=y))",exists x (GoodTeacher(x) & -WellInformed(x)),Uncertain
172,"Philatelic literature is divided into the following categories: Stamp catalogs, Periodicals, Auction catalogs, Books, Bibliographies, and Background Material.
Mort is not a Stamp catalog.
Mort is not a periodical, auction catalog, bibliography, or background material.
Mort is a piece of Philatelic literature.",Mort is background material.,"∀x (PhilatelicLit(x) → (Stamp(x) ∨ Periodical(x) ∨ Auction(x) ∨ Book(x) ∨ Bibliography(x) ∨ Background(x)))
¬Stamp(mort)
¬(Periodical(mort) ∨ Auction(mort) ∨ Bibliography(mort) ∨ Background(mort))
PhilatelicLit(mort)",Background(mort),False
173,"Philatelic literature is divided into the following categories: Stamp catalogs, Periodicals, Auction catalogs, Books, Bibliographies, and Background Material.
Mort is not a Stamp catalog.
Mort is not a periodical, auction catalog, bibliography, or background material.
Mort is a piece of Philatelic literature.",Eragon is a piece of Philatelic literature.,"∀x (PhilatelicLit(x) → (Stamp(x) ∨ Periodical(x) ∨ Auction(x) ∨ Book(x) ∨ Bibliography(x) ∨ Background(x)))
¬Stamp(mort)
¬(Periodical(mort) ∨ Auction(mort) ∨ Bibliography(mort) ∨ Background(mort))
PhilatelicLit(mort)",PhilatelicLit(eragon),Uncertain
174,"Adventures of Rusty is a drama film and children's film.
Columbia Pictures produced Adventures of Rusty.
Tintin was produced by Paramount.
Tintin is an adventure film.",Columbia pictures produced some drama film.,"DramaFilm(adventuresOfRusty) ∧ ChildrensFilm(adventuresOfRusty)
Produces(columbiaPictures, adventuresOfRusty)
Produces(paramount, tintin)
AdventureFilm(tintin)","exists x (DramaFilm(x) & Produces(columbiaPictures,x))",True
175,"Adventures of Rusty is a drama film and children's film.
Columbia Pictures produced Adventures of Rusty.
Tintin was produced by Paramount.
Tintin is an adventure film.",Columbia pictures produced some adventure film.,"DramaFilm(adventuresOfRusty) ∧ ChildrensFilm(adventuresOfRusty)
Produces(columbiaPictures, adventuresOfRusty)
Produces(paramount, tintin)
AdventureFilm(tintin)","exists x (AdventureFilm(x) & Produces(columbiaPictures,x))",Uncertain
176,"Adventures of Rusty is a drama film and children's film.
Columbia Pictures produced Adventures of Rusty.
Tintin was produced by Paramount.
Tintin is an adventure film.",Paramount produces children's films.,"DramaFilm(adventuresOfRusty) ∧ ChildrensFilm(adventuresOfRusty)
Produces(columbiaPictures, adventuresOfRusty)
Produces(paramount, tintin)
AdventureFilm(tintin)","all x (ChildrensFilm(x) -> Produces(paramount,x))",Uncertain
178,"American superheroes come from either the DC Universe or Marvel Universe.
Captain America is one of America's top-ten favorite superheroes
Captain America does not come from the DC Universe.
America's top-ten favorite superheroes speak English.
Some superheroes speak both English and Spanish.",Captain America does not speak English.,"∀x (Superhero(x) ∧ American(x) → ComeFrom(x, dCUniverse) ⊕ ComeFrom(x, marvelUniverse)) 
American(captainAmerica) ∧ TopTenFavorite(captainAmerica) ∧ Superhero(captainAmerica) 
¬ComeFrom(captainAmerica, dCUniverse)
∀x (American(x) ∧ TopTenFavorite(x) ∧ Superhero(x)  → Speak(x, english)) 
∃x (Superhero(x) → (Speak(x, english) ∧ Speak(x, spanish)))","-all x (x = captainAmerica -> Speak(x,english))",False
179,"American superheroes come from either the DC Universe or Marvel Universe.
Captain America is one of America's top-ten favorite superheroes
Captain America does not come from the DC Universe.
America's top-ten favorite superheroes speak English.
Some superheroes speak both English and Spanish.",Captain America comes from the Marvel universe.,"∀x (Superhero(x) ∧ American(x) → ComeFrom(x, dCUniverse) ⊕ ComeFrom(x, marvelUniverse)) 
American(captainAmerica) ∧ TopTenFavorite(captainAmerica) ∧ Superhero(captainAmerica) 
¬ComeFrom(captainAmerica, dCUniverse)
∀x (American(x) ∧ TopTenFavorite(x) ∧ Superhero(x)  → Speak(x, english)) 
∃x (Superhero(x) → (Speak(x, english) ∧ Speak(x, spanish)))","ComeFrom(captainAmerica,marvelUniverse)",True
180,"American superheroes come from either the DC Universe or Marvel Universe.
Captain America is one of America's top-ten favorite superheroes
Captain America does not come from the DC Universe.
America's top-ten favorite superheroes speak English.
Some superheroes speak both English and Spanish.",Captain America speaks Spanish.,"∀x (Superhero(x) ∧ American(x) → ComeFrom(x, dCUniverse) ⊕ ComeFrom(x, marvelUniverse)) 
American(captainAmerica) ∧ TopTenFavorite(captainAmerica) ∧ Superhero(captainAmerica) 
¬ComeFrom(captainAmerica, dCUniverse)
∀x (American(x) ∧ TopTenFavorite(x) ∧ Superhero(x)  → Speak(x, english)) 
∃x (Superhero(x) → (Speak(x, english) ∧ Speak(x, spanish)))","Speak(captainAmerica, spanish)",Uncertain
181,"Robert Zimmer was a philosopher born in Germany.
Robert Zimmer is an essayist.
Robert Zimmer was born in 1953.
Every essayist is a writer.",Robert Zimmer is not a writer.,"BornIn(robertZimmer, germany) ∧ Philosopher(robertZimmer)
Essayist(robertZimmer)
BornIn(robertZimmer, yr1953)
∀x (Essayist(x) → Writer(x))",-Writer(robertZimmer),False
182,"Robert Zimmer was a philosopher born in Germany.
Robert Zimmer is an essayist.
Robert Zimmer was born in 1953.
Every essayist is a writer.",Robert Zimmer is a biographer.,"BornIn(robertZimmer, germany) ∧ Philosopher(robertZimmer)
Essayist(robertZimmer)
BornIn(robertZimmer, yr1953)
∀x (Essayist(x) → Writer(x))",Biographer(robertZimmer),Uncertain
183,"All people who repay their loans on time have a high credit score.
Some people with high credit scores and high salaries are approved for mortgages.
John has a high salary.","If John repays his loans on time, he will be approved for a mortgage.","∀x (RepayOnTime(x) → Has(x, highCreditScore))
∃x ((Has(x, highCreditScore) ∧ Has(x, highSalary)) → ApprovedFor(x, mortgage))
Has(john, highSalary)","(all x (RepayOnTime(x) -> Has(x,highCreditScore)) & exists x ((Has(x,highCreditScore) & Has(x,highSalary)) -> ApprovedFor(x,mortgage)) & Has(john,highSalary)) -> (RepayOnTime(john) -> ApprovedFor(john,mortgage))",Uncertain
184,"All students are members of the university.
All graduate students are students.
All PhD students are graduate students.
Some PhD students are Teaching Fellows.
If John is not a PhD student, then he is not a member of the university.
If John is a Teaching Fellow, then he is a PhD student or a graduate student.",John is a PhD student.,"∀x (Student(x) → MemberOf(x, university))
∀x (GraduateStudent(x) → Student(x))
∀x (PhDStudent(x) → GraduateStudent(x))
∃x (PhDStudent(x) ∧ TeachingFellow(x))
¬PhDStudent(john) → ¬MemberOf(john, university)
TeachingFellow(john) → PhDStudent(john) ⊕ GraduateStudent(john)",PhDStudent(john),Uncertain
186,"Belgium, France, and Germany are European countries.
Paris is the capital of France.
The Eiffel Tower is one of the main tourist attractions located in Paris.
Some people who live in Belgium speak French.
If John goes to Europe, he will see some tourist attractions.
John speaks French.",The Eiffel Tower is located in the capital of France.,"EuropeanCountry(belgium) ∧ EuropeanCountry(france) ∧ EuropeanCountry(germany)
CapitalOf(paris, france)
TouristAttraction(eiffelTower) ∧ LocatedIn(eiffelTower, paris)
∃x (LiveIn(x, belgium) → Speak(x, french))
∃x (GoTo(john, europe) → (See(john, x) ∧ TouristAttraction(x)))
Speak(john, french)","LocatedIn(eiffelTower, paris) & CapitalOf(paris, france)",True
187,"Belgium, France, and Germany are European countries.
Paris is the capital of France.
The Eiffel Tower is one of the main tourist attractions located in Paris.
Some people who live in Belgium speak French.
If John goes to Europe, he will see some tourist attractions.
John speaks French.",John lives in Belgium.,"EuropeanCountry(belgium) ∧ EuropeanCountry(france) ∧ EuropeanCountry(germany)
CapitalOf(paris, france)
TouristAttraction(eiffelTower) ∧ LocatedIn(eiffelTower, paris)
∃x (LiveIn(x, belgium) → Speak(x, french))
∃x (GoTo(john, europe) → (See(john, x) ∧ TouristAttraction(x)))
Speak(john, french)","LiveIn(john, belgium)",Uncertain
188,"All sports cars are loud.
No loud cars are electric.
If a car is a Ferrari, then it is a sports car.
All cars made in Maranello are Ferraris.
The Toyota Prius is made in Maranello or is a loud car, or both.",Prius is an electric car.,"∀x (SportsCar(x) → LoudCar(x))
∀x (LoudCar(x) → ¬ElectricCar(x))
∀x (Ferrari(x) → SportsCar(x))
∀x ((Car(x) ∧ MadeIn(x, maranello)) → Ferrari(x))
(Car(toyotaPrius) ∧ MadeIn(toyotaPrius, maranello)) ∨ LoudCar(toyotaPrius)",ElectricCar(toyotaPrius),False
189,"All sports cars are loud.
No loud cars are electric.
If a car is a Ferrari, then it is a sports car.
All cars made in Maranello are Ferraris.
The Toyota Prius is made in Maranello or is a loud car, or both.",The Toyota Prius is not an electric car.,"∀x (SportsCar(x) → LoudCar(x))
∀x (LoudCar(x) → ¬ElectricCar(x))
∀x (Ferrari(x) → SportsCar(x))
∀x ((Car(x) ∧ MadeIn(x, maranello)) → Ferrari(x))
(Car(toyotaPrius) ∧ MadeIn(toyotaPrius, maranello)) ∨ LoudCar(toyotaPrius)",-ElectricCar(toyotaPrius),True
190,"All sports cars are loud.
No loud cars are electric.
If a car is a Ferrari, then it is a sports car.
All cars made in Maranello are Ferraris.
The Toyota Prius is made in Maranello or is a loud car, or both.",The Toyota Prius is a equipped with a Ferrari V12 engine.,"∀x (SportsCar(x) → LoudCar(x))
∀x (LoudCar(x) → ¬ElectricCar(x))
∀x (Ferrari(x) → SportsCar(x))
∀x ((Car(x) ∧ MadeIn(x, maranello)) → Ferrari(x))
(Car(toyotaPrius) ∧ MadeIn(toyotaPrius, maranello)) ∨ LoudCar(toyotaPrius)",FerrariV12Engine(toyotaPrius),Uncertain
191,"All sports cars are loud.
No loud cars are electric.
If a car is a Ferrari, then it is a sports car.
All cars made in Maranello are Ferraris.
The Toyota Prius is made in Maranello or is a loud car, or both.","If The Toyota Prius is a Ferrari or a loud car, then The Toyota Prius is an electric car.","∀x (SportsCar(x) → LoudCar(x))
∀x (LoudCar(x) → ¬ElectricCar(x))
∀x (Ferrari(x) → SportsCar(x))
∀x ((Car(x) ∧ MadeIn(x, maranello)) → Ferrari(x))
(Car(toyotaPrius) ∧ MadeIn(toyotaPrius, maranello)) ∨ LoudCar(toyotaPrius)",((Ferrari(toyotaPrius) | LoudCar(toyotaPrius)) -> ElectricCar(toyotaPrius)),False
192,"If something is a plant, then it is not a cute animal. Simeng: All plants are not cute animals. 
All flowers are plants.
Every kitten is a cute animal.
If something is grown in a garden, then it is a flower.
Piper is a kitten or a cute animal.",Piper was grown in a garden.,"∀x (Plant(x) → ¬CuteAnimal(x))
∀x (Flower(x) → Plant(x))
∀x (Kitten(x) → CuteAnimal(x))
∀x (GrownIn(x, garden) → Flower(x))
Kitten(piper) ∨ CuteAnimal(piper)","GrownIn(piper,garden)",False
193,"If something is a plant, then it is not a cute animal. Simeng: All plants are not cute animals. 
All flowers are plants.
Every kitten is a cute animal.
If something is grown in a garden, then it is a flower.
Piper is a kitten or a cute animal.",Piper was not grown in a garden.,"∀x (Plant(x) → ¬CuteAnimal(x))
∀x (Flower(x) → Plant(x))
∀x (Kitten(x) → CuteAnimal(x))
∀x (GrownIn(x, garden) → Flower(x))
Kitten(piper) ∨ CuteAnimal(piper)","-all x (GrownIn(piper,garden))",True
194,"If something is a plant, then it is not a cute animal. Simeng: All plants are not cute animals. 
All flowers are plants.
Every kitten is a cute animal.
If something is grown in a garden, then it is a flower.
Piper is a kitten or a cute animal.",Piper is a kitten.,"∀x (Plant(x) → ¬CuteAnimal(x))
∀x (Flower(x) → Plant(x))
∀x (Kitten(x) → CuteAnimal(x))
∀x (GrownIn(x, garden) → Flower(x))
Kitten(piper) ∨ CuteAnimal(piper)",Kitten(piper),Uncertain
195,"Michael O'Donnell is a British physician, journalist, author, and broadcaster.
One of the word-setters of My Word! was Michael O'Donnell.
The magazine World Medicine was edited by Michael O'Donnell.
Michael O'Donnell was born in Yorkshire as the son of a general practitioner.",The son of a general practitioner was a word-setter of My Word!.,"British(michael) ∧ Physician(michael) ∧ Journalist(michael) ∧ Author(michael) ∧ Broadcaster(michael)
WordSetter(michael)
Magazine(worldMedicine) ∧ EditedBy(worldMedicine, michael)
BornIn(michael, yorkshire) ∧ ∃x(SonOf(michael, x) ∧ GeneralPractitioner(x))","∃x(GeneralPractitioner(x) & SonOf(michael,x) & WordSetter(michael))",True
196,"Michael O'Donnell is a British physician, journalist, author, and broadcaster.
One of the word-setters of My Word! was Michael O'Donnell.
The magazine World Medicine was edited by Michael O'Donnell.
Michael O'Donnell was born in Yorkshire as the son of a general practitioner.",World Medicine is not a magazine.,"British(michael) ∧ Physician(michael) ∧ Journalist(michael) ∧ Author(michael) ∧ Broadcaster(michael)
WordSetter(michael)
Magazine(worldMedicine) ∧ EditedBy(worldMedicine, michael)
BornIn(michael, yorkshire) ∧ ∃x(SonOf(michael, x) ∧ GeneralPractitioner(x))",-Magazine(worldMedicine),False
197,"Michael O'Donnell is a British physician, journalist, author, and broadcaster.
One of the word-setters of My Word! was Michael O'Donnell.
The magazine World Medicine was edited by Michael O'Donnell.
Michael O'Donnell was born in Yorkshire as the son of a general practitioner.",There are no British authors.,"British(michael) ∧ Physician(michael) ∧ Journalist(michael) ∧ Author(michael) ∧ Broadcaster(michael)
WordSetter(michael)
Magazine(worldMedicine) ∧ EditedBy(worldMedicine, michael)
BornIn(michael, yorkshire) ∧ ∃x(SonOf(michael, x) ∧ GeneralPractitioner(x))",all x( British(x) -> -Author(x) ),False
198,"Michael O'Donnell is a British physician, journalist, author, and broadcaster.
One of the word-setters of My Word! was Michael O'Donnell.
The magazine World Medicine was edited by Michael O'Donnell.
Michael O'Donnell was born in Yorkshire as the son of a general practitioner.",There are no journalists that were born in Yorkshire.,"British(michael) ∧ Physician(michael) ∧ Journalist(michael) ∧ Author(michael) ∧ Broadcaster(michael)
WordSetter(michael)
Magazine(worldMedicine) ∧ EditedBy(worldMedicine, michael)
BornIn(michael, yorkshire) ∧ ∃x(SonOf(michael, x) ∧ GeneralPractitioner(x))","all x ( Journalist(x) -> -BornIn(x, yorkshire) )",False
199,"Michael O'Donnell is a British physician, journalist, author, and broadcaster.
One of the word-setters of My Word! was Michael O'Donnell.
The magazine World Medicine was edited by Michael O'Donnell.
Michael O'Donnell was born in Yorkshire as the son of a general practitioner.",There is a son of a general practitioner that is not an author.,"British(michael) ∧ Physician(michael) ∧ Journalist(michael) ∧ Author(michael) ∧ Broadcaster(michael)
WordSetter(michael)
Magazine(worldMedicine) ∧ EditedBy(worldMedicine, michael)
BornIn(michael, yorkshire) ∧ ∃x(SonOf(michael, x) ∧ GeneralPractitioner(x))","exists x (SonOf(x,y) & GeneralPractitioner(y) & -Author(x))",Uncertain
200,"No homework is fun.
Some reading is homework.",Some reading is fun.,"∀x (Homework(x) → ¬Fun(x))
∃x (Reading(x) ∧ Homework(x))",exists x (Reading(x) & Fun(x)),Uncertain
202,"All people in this midwest town who own horse ranches regularly ride horses for pleasure and sport.
All people in this midwest town with a lot of disposable income have a horse ranch.
If people in this midwest town compete in horse dressage shows, then they have a lot of disposable income.
If people in this midwest town compete in horse dressage shows, then they have invested in high-quality equestrian gear and equipment.
If people in this midwest town regularly ride horses for pleasure and sport, then they do not live in cramped residential buildings.
Manny is in this midwest town, and she either has a horse ranch and lives in a cramped residential building, or she does neither.",Manny regularly rides horses for pleasure and sport.,"∀x (InThisMidwestTown(x) ∧ Have(x, horseRanch) → RegularlyRideHorseForPleasure(x))
∀x (InThisMidwestTown(x) ∧ Have(x, disposableIncome) → Have(x, horseRank))
∀x (InThisMidwestTown(x) ∧ CompeteIn(x, horseDressageShow) → Have(x, disposableIncome))
∀x (InThisMidwestTown(x) ∧ CompeteIn(x, horseDressageShow) → InvestedIn(x, equestrianGearAndEquipment))
∀x (InThisMidwestTown(x) ∧ RegularlyRideHorseForPleasure(x) → ¬LiveIn(x, crampedBuilding))
InThisMidwestTown(manny) ∧ ¬(Have(manny, horseRanch) ⊕ LiveIn(manny, crampedBuilding))",RegularlyRideHorseForPleasure(manny),Uncertain
203,"A roundel is a rounded artillery fortification.
A roundel is not higher than adjacent walls. 
Cannons can be deployed on artillery fortifications. 
Roundels are the oldest artillery fortifications.
Battery towers are artillery fortifications.",Cannons can be deployed on battery towers.,"∀x (Roundel(x) → (Rounded(x) ∧ ArtilleryFortification(x)))
∀x ∀y ((Roundel(x) ∧ AdjacentWalls(x,y)) → ¬Higher(x, y))
∀x (ArtilleryFortification(x) → DeployCannons(x))
∀x ∀y ((Roundel(x) ∧ ArtilleryFortification(y)) → Older(x, y))
∀x (BatteryTower(x) → ArtilleryFortification(x))",all x (BatteryTower(x) -> DeployCannons(x)),True
205,"A roundel is a rounded artillery fortification.
A roundel is not higher than adjacent walls. 
Cannons can be deployed on artillery fortifications. 
Roundels are the oldest artillery fortifications.
Battery towers are artillery fortifications.",Battery towers are higher than adjacent walls.,"∀x (Roundel(x) → (Rounded(x) ∧ ArtilleryFortification(x)))
∀x ∀y ((Roundel(x) ∧ AdjacentWalls(x,y)) → ¬Higher(x, y))
∀x (ArtilleryFortification(x) → DeployCannons(x))
∀x ∀y ((Roundel(x) ∧ ArtilleryFortification(y)) → Older(x, y))
∀x (BatteryTower(x) → ArtilleryFortification(x))","all x all y ((BatteryTower(x) & AdjacentWalls(x,y)) -> Higher(x,y))",Uncertain
206,"A roundel is a rounded artillery fortification.
A roundel is not higher than adjacent walls. 
Cannons can be deployed on artillery fortifications. 
Roundels are the oldest artillery fortifications.
Battery towers are artillery fortifications.",Cannons can be deployed on roundels.,"∀x (Roundel(x) → (Rounded(x) ∧ ArtilleryFortification(x)))
∀x ∀y ((Roundel(x) ∧ AdjacentWalls(x,y)) → ¬Higher(x, y))
∀x (ArtilleryFortification(x) → DeployCannons(x))
∀x ∀y ((Roundel(x) ∧ ArtilleryFortification(y)) → Older(x, y))
∀x (BatteryTower(x) → ArtilleryFortification(x))",all x (Roundel(x) -> DeployCannons(x)),True
207,"Tissues are soft.
Some papers are tissues.",Some papers are hard.,"∀x (Tissue(x) → Soft(x))
∃x ∃y (Paper(x) ∧ Paper(x) ∧ Tissue(x) ∧ Tissue(y) ∧ ¬(x=y))",exists x (Paper(x) & -Soft(x)),Uncertain
208,"All volunteers receive intangible benefits for their work.
Volunteers work regularly or on an as-needed basis.
Some volunteers are trained.
Volunteers work in groups or individually.
Environmental volunteers contribute toward environmental management or conservation.
Participating in natural disaster response is an example of volunteers working in groups on an as-needed basis.",Volunteers who participate in natural disaster response receive intangible benefits for their work.,"∀x (Volunteer(x) → Receive(x, intangibleBenefit))
∀x (Volunteer(x) → WorkRegularly(x) ⊕ WorkAsNeeded(x))
∃x (Volunteer(x) → Trained(x))
∀x (Volunteer(x) → (WorkInGroup(x) ∨ WorkIndividually(x)))
∀x (Volunteer(x) ∧ Environmental(x) → (ContributeTo(x, environmentalManagement) ∨ ContributeTo(x, environmentalConservation)))
∃x (Volunteer(x) ∧ ContributeTo(x, naturalDisasterResponse) → WorkInGroup(x) ∧ WorkAsNeeded(x))","all x ((Volunteer(x) & ContributeTo(x,naturalDisasterResponse)) -> Receive(x,intangibleBenefit))",True
209,"All volunteers receive intangible benefits for their work.
Volunteers work regularly or on an as-needed basis.
Some volunteers are trained.
Volunteers work in groups or individually.
Environmental volunteers contribute toward environmental management or conservation.
Participating in natural disaster response is an example of volunteers working in groups on an as-needed basis.",Environmental volunteers work in groups.,"∀x (Volunteer(x) → Receive(x, intangibleBenefit))
∀x (Volunteer(x) → WorkRegularly(x) ⊕ WorkAsNeeded(x))
∃x (Volunteer(x) → Trained(x))
∀x (Volunteer(x) → (WorkInGroup(x) ∨ WorkIndividually(x)))
∀x (Volunteer(x) ∧ Environmental(x) → (ContributeTo(x, environmentalManagement) ∨ ContributeTo(x, environmentalConservation)))
∃x (Volunteer(x) ∧ ContributeTo(x, naturalDisasterResponse) → WorkInGroup(x) ∧ WorkAsNeeded(x))",all x ((Volunteer(x) & Environmental(x)) -> WorkInGroup(x)),Uncertain
210,"All volunteers receive intangible benefits for their work.
Volunteers work regularly or on an as-needed basis.
Some volunteers are trained.
Volunteers work in groups or individually.
Environmental volunteers contribute toward environmental management or conservation.
Participating in natural disaster response is an example of volunteers working in groups on an as-needed basis.","To be a volunteer, you must be trained.","∀x (Volunteer(x) → Receive(x, intangibleBenefit))
∀x (Volunteer(x) → WorkRegularly(x) ⊕ WorkAsNeeded(x))
∃x (Volunteer(x) → Trained(x))
∀x (Volunteer(x) → (WorkInGroup(x) ∨ WorkIndividually(x)))
∀x (Volunteer(x) ∧ Environmental(x) → (ContributeTo(x, environmentalManagement) ∨ ContributeTo(x, environmentalConservation)))
∃x (Volunteer(x) ∧ ContributeTo(x, naturalDisasterResponse) → WorkInGroup(x) ∧ WorkAsNeeded(x))",all x (Volunteer(x) -> Trained(x)),Uncertain
211,"All people in this tech company who are consistent and enjoy sticking to their regular routines do not like surprises.
People in this tech company who wear the same flannel shirts every day are consistent and enjoy sticking to their regular routines.
People in this tech company who do not like shopping for clothes wear the same flannel shirts every day.
Old people living in stable homes do not like surprises.
People in this tech company who have very high energy and are impulsive like surprises.
Mike works in this tech company.
If Mike is not a person who wears the same flannel shirts every day, has very high energy, and is impulsive, then Mike either is very consistent and enjoys sticking to his regular routines or does not like surprises.",Mike is an old person living in a stable home.,"∀x (InThisTechCompany(x) ∧ Consistent(x) ∧ StickTo(x, theirRegularRoutine) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ ∃y (flannelShirt(y) ∧ WearEveryday(x, y)) → Consistent(x) ∧ StickTo(x, theirRegularRoutine))
∀x (InThisTechCompany(x) ∧ ¬LikeShoppingFor(x, clothes) → ∃y (flannelShirt(y) ∧ WearEveryday(x, y)))
∀x (InThisTechCompany(x) ∧ Old(x) ∧ LiveIn(x, stableHome) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ Have(x, highEnergy) ∧ Impulsive(x) → ¬Like(x, surprise))
InThisTechCompany(mike)
¬(∃y (flannelShirt(y) ∧ WearEveryday(x, y)) ∧ Have(mike, highEnergy) ∧ Impulsive(mike)) → (Consistent(mike) ∧ StickTo(mike, theirRegularRoutine)) ⊕ ¬Like(mike, surprise)","Old(mike) & LiveIn(mike,stableHome)",Uncertain
212,"There are no buildings in New Haven higher than 400 meters. 
All buildings managed by Yale Housing are in New Haven. 
All Manhattan skyscrapers are higher than 400 meters. 
All buildings owned by Bloomberg are in Manhattan. 
All buildings with the Bloomberg logo are buildings owned by Bloomberg. 
Tower A is neither a building in New Haven nor a skyscraper in Manhattan.
Tower B is a skyscraper building in Manhattan with a Bloomberg logo.",Tower A is higher than 400 meters.,"∀x ((Buildings(x) ∧ In(x, newHaven)) → ¬HigherThan(x, num400))
∀x ((Buildings(x) ∧ ManagedBy(x, yaleHousing)) → In(x, newHaven))
∀x ((Buildings(x) ∧ Skyscraper(x) ∧ In(x, manhattan)) → HigherThan(x, num400))
∀x ((Buildings(x) ∧ OwnedBy(x, bloomberg)) → Skyscraper(x) ∧ In(x, manhattan))
∀x ((Buildings(x) ∧ HasLogo(x, bloomberg)) → OwnedBy(x, bloomberg))
Buildings(towerA) ∧ (¬InNewHaven(towerA)) ∧ (¬ManhattanSkyscraper(towerA))
Buildings(towerB) ∧ HasLogo(towerB, bloomberg) ∧ Skyscraper(towerB) ∧ In(towerB, manhattan)","HigherThan(towerA,num400)",Uncertain
